MJD,RV_km_s,sigma_km_s,Instrument
51718.50000,1192,100,NIRSPEC
52427.50000,-491,39,NIRC2
52428.50000,-494,39,NIRC2
52739.23275,-1571,59,VLT
52769.18325,-1512,40,VLT
52798.50000,-1608,34,NIRC2
52799.50000,-1536,36,NIRC2
52803.15150,-1428,51,VLT
53179.00000,-1157,47,NIRC2
53200.90875,-1055,46,VLT
53201.63925,-1056,37,VLT
53236.33800,-1039,39,VLT
53428.45950,-1001,77,VLT
53448.18300,-960,37,VLT
53449.27875,-910,54,VLT
53520.50000,-983,37,NIRC2
53554.50000,-847,18,OSIRIS
53904.50000,-721,25,OSIRIS
53916.50000,-671,25,OSIRIS
53917.50000,-692,26,OSIRIS
54300.29167,-485,22,OSIRIS
54602.50000,-409,18,OSIRIS
54672.27778,-372,17,OSIRIS
54956.50000,-285,16,OSIRIS
54957.50000,-321,14,OSIRIS
55324.50000,-175,18,OSIRIS
55752.33333,10,28,OSIRIS
56086.49324,141,26,OSIRIS
56087.46222,151,23,OSIRIS
56089.50000,169,16,OSIRIS
56129.31250,188,20,OSIRIS
56130.31250,198,17,OSIRIS
56151.33333,217,15,OSIRIS
56423.50000,300,20,OSIRIS
56424.50000,303,17,OSIRIS
56425.50000,278,20,OSIRIS
56426.50000,256,16,OSIRIS
56428.50000,301,20,OSIRIS
56429.50000,281,21,OSIRIS
56498.32366,389,28,OSIRIS
56499.34346,355,39,OSIRIS
56500.33333,363,16,OSIRIS
56514.28838,383,20,OSIRIS
56515.31461,365,32,OSIRIS
56517.29167,363,16,OSIRIS
56795.50000,463,19,OSIRIS
56800.50000,491,18,OSIRIS
56841.36031,542,17,OSIRIS
57146.50000,710,19,OSIRIS
57224.35417,836,17,OSIRIS
57255.18375,899,23,IRCS
57522.50000,1078,17,OSIRIS
57523.34299,1119,19,OSIRIS
57524.50000,1114,16,OSIRIS
57880.12650,1732,15,IRCS
57890.52054,1784,13,OSIRIS
57891.51271,1782,19,OSIRIS
57892.50654,1758,14,OSIRIS
57953.33158,2002,17,OSIRIS
57961.32236,2021,15,OSIRIS
57975.45675,2138,22,IRCS
57979.28785,2109,16,OSIRIS
57998.24677,2232,20,OSIRIS
58194.64495,3758,22,OSIRIS
58207.02525,3978,20,IRCS
58232.56712,3932,15,OSIRIS
58251.51693,2973,13,NIFS
58253.55943,2778,18,NIFS
58255.56439,2597,63,OSIRIS
58260.49877,2107,20,NIFS
58261.49231,2016,32,NIFS
58261.49873,2039,13,OSIRIS
58274.46743,704,25,OSIRIS
58321.33180,-1473,14,OSIRIS
58330.31655,-1617,14,OSIRIS
58341.31004,-1706,14,OSIRIS
58347.29819,-1750,18,NIFS
58348.28038,-1764,17,NIFS
58361.24301,-1791,28,NIFS
58361.27028,-1778,16,OSIRIS
58371.24084,-1799,17,NIFS
58377.22577,-1811,18,NIFS
